date_added,hq,name,sector,symbol
2005-08-19,"Glendale, California",Public Storage,Real Estate,PSA
1984-04-30,Atlanta,PulteGroup,Consumer Discretionary,PHM
2009-07-01,Houston,Quanta Services,Industrials,PWR
1999-07-22,San Diego,Qualcomm,Information Technology,QCOM
2002-12-12,"Secaucus, New Jersey",Quest Diagnostics,Health Care,DGX
2007-02-02,New York City,Ralph Lauren Corporation,Consumer Discretionary,RL
2017-03-20,"St. Petersburg, Florida",Raymond James Financial,Financials,RJF
1957-03-04,"Waltham, Massachusetts",RTX Corporation,Industrials,RTX
2015-04-07,San Diego,Realty Income,Real Estate,O
2017-03-02,"Jacksonville, Florida",Regency Centers,Real Estate,REG
2013-05-01,"Tarrytown, New York",Regeneron Pharmaceuticals,Health Care,REGN
1998-08-28,"Birmingham, Alabama",Regions Financial Corporation,Financials,RF
2008-12-05,"Phoenix, Arizona",Republic Services,Industrials,RSG
2017-07-26,San Diego,ResMed,Health Care,RMD
1985-05-31,"Waltham, Massachusetts",Revvity,Health Care,RVTY
2025-09-22,"Menlo Park, California",Robinhood Markets,Financials,HOOD
2000-03-12,Milwaukee,Rockwell Automation,Industrials,ROK
2018-10-01,Atlanta,"Rollins, Inc.",Industrials,ROL
2009-12-23,"Sarasota, Florida",Roper Technologies,Information Technology,ROP
2009-12-21,"Dublin, California",Ross Stores,Consumer Discretionary,ROST
2014-12-05,Miami,Royal Caribbean Group,Consumer Discretionary,RCL
1957-03-04,New York City,S&P Global,Financials,SPGI
2008-09-15,San Francisco,Salesforce,Information Technology,CRM
2017-09-01,"Boca Raton, Florida",SBA Communications,Real Estate,SBAC
1957-03-04,Houston,Schlumberger,Energy,SLB
2012-07-02,Dublin,Seagate Technology,Information Technology,STX
2017-03-17,San Diego,Sempra,Utilities,SRE
2019-11-21,"Santa Clara, California",ServiceNow,Information Technology,NOW
1964-06-30,Cleveland,Sherwin-Williams,Materials,SHW
2002-06-26,Indianapolis,Simon Property Group,Real Estate,SPG
2015-03-12,"Irvine, California",Skyworks Solutions,Information Technology,SWKS
2008-11-06,"Orrville, Ohio",J.M. Smucker Company (The),Consumer Staples,SJM
2024-07-08,Dublin,Smurfit Westrock,Materials,SW
1982-09-30,"Kenosha, Wisconsin",Snap-on,Industrials,SNA
2024-04-01,"Saint Paul, Minnesota",Solventum,Health Care,SOLV
1957-03-04,Atlanta,Southern Company,Utilities,SO
1994-07-01,Dallas,Southwest Airlines,Industrials,LUV
1982-09-30,"New Britain, Connecticut",Stanley Black & Decker,Industrials,SWK
